fusionTranscriptID	fusionGenePair	breakpointID	5pStrand	3pStrand	junctionReads	spanningReads	TCGACancerCode	TCGASampleID
ANKRD52::DYRK2__12:56247493-12:67657106	ANKRD52::DYRK2	12:56247493-12:67657106	-	+	1	3	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
SUGP1::CASP14__19:19316422-19:15052206	SUGP1::CASP14	19:19316422-19:15052206	-	+	1	1	ACC	TCGA-OR-A5K9-01A-11R-A29S-07
SYNJ2::COX4I1__6:158068728-16:85806827	SYNJ2::COX4I1	6:158068728-16:85806827	+	+	4	4	ACC	TCGA-OR-A5KO-01A-11R-A29S-07
NT5DC1::SLC35F1__6:116117945-6:118266995	NT5DC1::SLC35F1	6:116117945-6:118266995	+	+	1	7	ACC	TCGA-OR-A5KO-01A-11R-A29S-07
FLYWCH1::TVP23A__16:2940092-16:10818768	FLYWCH1::TVP23A	16:2940092-16:10818768	+	-	1000	1000	ACC	TCGA-OR-A5KO-01A-11R-A29S-07
PYM1::SLC16A7__12:55903387-12:59779423	PYM1::SLC16A7	12:55903387-12:59779423	-	+	18	80	ACC	TCGA-OR-A5KT-01A-11R-A29S-07
SLC16A7::SARNP__12:59596236-12:55760640	SLC16A7::SARNP	12:59596236-12:55760640	+	-	15	28	ACC	TCGA-OR-A5KT-01A-11R-A29S-07
SPATS2::TSPAN8__12:49514613-12:71139848	SPATS2::TSPAN8	12:49514613-12:71139848	+	-	1	6	ACC	TCGA-OR-A5KT-01A-11R-A29S-07
KDM6A::FUNDC1__X:44974715-X:44542101	KDM6A::FUNDC1	X:44974715-X:44542101	+	-	47	405	ACC	TCGA-OR-A5KV-01A-11R-A29S-07
JADE3::SSX2__X:47058345-X:52700578	JADE3::SSX2	X:47058345-X:52700578	+	-	38	214	ACC	TCGA-OR-A5KV-01A-11R-A29S-07
REPS2::APOO__X:16947134-X:23880952	REPS2::APOO	X:16947134-X:23880952	+	-	3	6	ACC	TCGA-OR-A5KV-01A-11R-A29S-07
GNL3L::PAGE5__X:54532585-X:55221375	GNL3L::PAGE5	X:54532585-X:55221375	+	+	1	4	ACC	TCGA-OR-A5KV-01A-11R-A29S-07
BRMS1L::ZNF839__14:35834923-14:102338816	BRMS1L::ZNF839	14:35834923-14:102338816	+	+	2	17	ACC	TCGA-OR-A5KW-01A-11R-A29S-07
ARFGAP2::PACSIN3__11:47171426-11:47178487	ARFGAP2::PACSIN3	11:47171426-11:47178487	-	-	1	2	ACC	TCGA-OR-A5KW-01A-11R-A29S-07
ARHGAP23::RPL23__17:38482678-17:38853105	ARHGAP23::RPL23	17:38482678-17:38853105	+	-	6	24	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
FN3KRP::KCNQ1__17:82726602-11:2847767	FN3KRP::KCNQ1	17:82726602-11:2847767	+	+	3	34	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
PPP1R16A::SLC52A2__8:144490212-8:144360115	PPP1R16A::SLC52A2	8:144490212-8:144360115	+	+	4	26	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
PPP3R1::WDR92__2:68252125-2:68144715	PPP3R1::WDR92	2:68252125-2:68144715	-	-	5	9	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
FKBP8::HAUS8__19:18541679-19:17073335	FKBP8::HAUS8	19:18541679-19:17073335	-	-	4	9	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
GIPC1::CYP4F22__19:14491656-19:15548108	GIPC1::CYP4F22	19:14491656-19:15548108	-	+	1	12	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
ZNF626::ADGRE5__19:20661444-19:14388450	ZNF626::ADGRE5	19:20661444-19:14388450	-	+	1	12	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
CDH12::BNIP3L__5:22505270-8:26505307	CDH12::BNIP3L	5:22505270-8:26505307	-	+	1	11	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
PRLR::CDH12__5:35118061-5:22505364	PRLR::CDH12	5:35118061-5:22505364	-	-	1	10	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
CDK12::LRRC37A11P__17:39463117-17:39034170	CDK12::LRRC37A11P	17:39463117-17:39034170	+	+	1	9	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
ASF1B::GIPC1__19:14136348-19:14491743	ASF1B::GIPC1	19:14136348-19:14491743	-	-	1	5	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
DNAJC21::SGCZ__5:34929916-8:14324204	DNAJC21::SGCZ	5:34929916-8:14324204	+	-	1	5	ACC	TCGA-OR-A5KX-01A-11R-A29S-07
CHD3::RAD51C__17:7893935-17:58709859	CHD3::RAD51C	17:7893935-17:58709859	+	+	17	88	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
PPP1R37::BCAM__19:45093527-19:44811225	PPP1R37::BCAM	19:45093527-19:44811225	+	+	14	54	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
B4GALT5::ASIP__20:49713576-20:34260365	B4GALT5::ASIP	20:49713576-20:34260365	-	+	12	32	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
TSPAN18::PIK3R2__11:44727287-19:18166160	TSPAN18::PIK3R2	11:44727287-19:18166160	+	+	8	37	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
ASB3::MTA3__2:53786821-2:42640173	ASB3::MTA3	2:53786821-2:42640173	-	+	4	15	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
FHOD3::ESRRB__18:36372744-14:76482016	FHOD3::ESRRB	18:36372744-14:76482016	+	+	2	22	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
ALDH3A2::EIF5A__17:19671956-17:7309615	ALDH3A2::EIF5A	17:19671956-17:7309615	+	+	2	21	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
AMBRA1::LRP4__11:46493608-11:46876830	AMBRA1::LRP4	11:46493608-11:46876830	-	-	1	21	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
AHSA2::C2orf74__2:61186497-2:61162842	AHSA2::C2orf74	2:61186497-2:61162842	+	+	3	10	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
TMEM248::ATOH8__7:66942024-2:85763991	TMEM248::ATOH8	7:66942024-2:85763991	+	+	2	12	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
ALDH2::ACTB__12:111798242-7:5529663	ALDH2::ACTB	12:111798242-7:5529663	+	-	1	10	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
CTDNEP1::SHBG__17:7246026-17:7630416	CTDNEP1::SHBG	17:7246026-17:7630416	-	+	1	2	ACC	TCGA-OR-A5KY-01A-11R-A29S-07
VPS41::CEP41__7:38754702-7:130428018	VPS41::CEP41	7:38754702-7:130428018	-	-	3	23	ACC	TCGA-OR-A5KZ-01A-11R-A29S-07
UBR2::NDUFS2__6:42642481-1:161214156	UBR2::NDUFS2	6:42642481-1:161214156	+	+	1	1	ACC	TCGA-OR-A5KZ-01A-11R-A29S-07
PLBD2::CIDEC__12:113358890-3:9878511	PLBD2::CIDEC	12:113358890-3:9878511	+	-	25	95	ACC	TCGA-OR-A5L6-01A-11R-A29S-07
CLK1::NAPRT__2:200854616-8:143577943	CLK1::NAPRT	2:200854616-8:143577943	-	-	11	82	ACC	TCGA-OR-A5L6-01A-11R-A29S-07
FAM19A4::TMF1__3:68880730-3:69048562	FAM19A4::TMF1	3:68880730-3:69048562	-	-	14	63	ACC	TCGA-OR-A5LB-01A-11R-A29S-07
LMBR1::CHMP1A__7:156724112-16:89647331	LMBR1::CHMP1A	7:156724112-16:89647331	-	-	2	1	ACC	TCGA-OR-A5LB-01A-11R-A29S-07
ZXDC::UROC1__3:126466155-3:126482485	ZXDC::UROC1	3:126466155-3:126482485	-	-	3	10	ACC	TCGA-OR-A5LD-01A-11R-A29S-07
AUTS2::CDH8__7:70698620-16:61901473	AUTS2::CDH8	7:70698620-16:61901473	+	-	1	5	ACC	TCGA-OR-A5LD-01A-11R-A29S-07
KIF18B::C1QL1__17:44947628-17:44960367	KIF18B::C1QL1	17:44947628-17:44960367	-	-	1	3	ACC	TCGA-OR-A5LD-01A-11R-A29S-07
CCDC117::TNNI2__22:28773025-11:1841272	CCDC117::TNNI2	22:28773025-11:1841272	+	+	31	76	ACC	TCGA-OR-A5LE-01A-11R-A29S-07
MAP3K9::MED6__14:70749933-14:70593378	MAP3K9::MED6	14:70749933-14:70593378	-	-	3	33	ACC	TCGA-OR-A5LG-01A-11R-A29S-07
MED6::MAP3K9__14:70596611-14:70761182	MED6::MAP3K9	14:70596611-14:70761182	-	-	2	22	ACC	TCGA-OR-A5LG-01A-11R-A29S-07
TNS1::CATIP-AS2__2:217835091-2:218327959	TNS1::CATIP-AS2	2:217835091-2:218327959	-	-	4	53	ACC	TCGA-OR-A5LJ-01A-11R-A29S-07
NOTCH2NL::FCGR3B__1:146228709-1:161630388	NOTCH2NL::FCGR3B	1:146228709-1:161630388	-	-	5	48	ACC	TCGA-OR-A5LL-01A-11R-A29S-07
MMACHC::TTC23L__1:45500413-5:34896770	MMACHC::TTC23L	1:45500413-5:34896770	+	+	1	9	ACC	TCGA-OR-A5LL-01A-11R-A29S-07
ZNF616::TRAPPC8__19:52130501-18:31931523	ZNF616::TRAPPC8	19:52130501-18:31931523	-	-	1	4	ACC	TCGA-OR-A5LL-01A-11R-A29S-07
CMTR1::SMIM13__6:37473601-6:11134403	CMTR1::SMIM13	6:37473601-6:11134403	+	+	3	24	ACC	TCGA-OR-A5LM-01A-11R-A29S-07
CELF1::FNBP4__11:47483453-11:47720086	CELF1::FNBP4	11:47483453-11:47720086	-	-	18	123	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
QRICH1::ACOT2__3:49076709-14:73574908	QRICH1::ACOT2	3:49076709-14:73574908	-	+	5	146	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
FCN2::COL5A1__9:134886564-9:134822998	FCN2::COL5A1	9:134886564-9:134822998	+	+	12	42	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
VPS26A::KIF1BP__10:69133047-10:69041564	VPS26A::KIF1BP	10:69133047-10:69041564	+	+	12	37	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
MINOS1::GSE1__1:19597109-16:85665976	MINOS1::GSE1	1:19597109-16:85665976	+	+	11	28	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
RAB40C::PRR35__16:618260-16:563256	RAB40C::PRR35	16:618260-16:563256	+	+	2	61	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
PGPEP1::ALPL__19:18342911-1:21553978	PGPEP1::ALPL	19:18342911-1:21553978	+	+	7	40	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
RASSF3::DAZAP2__12:64610743-12:51240343	RASSF3::DAZAP2	12:64610743-12:51240343	+	+	4	21	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
FOXO3::LACE1__6:108561829-6:108519697	FOXO3::LACE1	6:108561829-6:108519697	+	+	3	11	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
GBF1::NOLC1__10:102370860-10:102159193	GBF1::NOLC1	10:102370860-10:102159193	+	+	3	8	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
WRAP53::AHCY__17:7689701-20:34281165	WRAP53::AHCY	17:7689701-20:34281165	+	-	2	11	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
CMIP::BCO1__16:81445541-16:81262136	CMIP::BCO1	16:81445541-16:81262136	+	+	2	7	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
AP1B1::RFPL1S__22:29342285-22:29442129	AP1B1::RFPL1S	22:29342285-22:29442129	-	-	2	5	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
FOXK2::TNFSF13__17:82520307-17:7559846	FOXK2::TNFSF13	17:82520307-17:7559846	+	+	1	9	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
CAPZB::MUC22__1:19485436-6:31025502	CAPZB::MUC22	1:19485436-6:31025502	-	+	2	4	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
REPS2::TXLNG__X:17006344-X:16818574	REPS2::TXLNG	X:17006344-X:16818574	+	+	2	4	ACC	TCGA-OR-A5LO-01A-11R-A29S-07
TYW1B::STX5__7:72826855-11:62807628	TYW1B::STX5	7:72826855-11:62807628	-	-	1	5	ACC	TCGA-OR-A5LR-01A-11R-A29S-07
IL6R::TDRD10__1:154435156-1:154547409	IL6R::TDRD10	1:154435156-1:154547409	+	+	2	20	ACC	TCGA-OR-A5LS-01A-11R-A29S-07
HNRNPA2B1::HSD17B10__7:26200572-X:53433886	HNRNPA2B1::HSD17B10	7:26200572-X:53433886	-	-	5	10	ACC	TCGA-OU-A5PI-01A-12R-A29S-07
ST3GAL2::VAC14__16:70438949-16:70772172	ST3GAL2::VAC14	16:70438949-16:70772172	-	-	5	6	ACC	TCGA-OU-A5PI-01A-12R-A29S-07
PLCB1::WTIP__20:8757178-19:34490376	PLCB1::WTIP	20:8757178-19:34490376	+	+	2	6	ACC	TCGA-OU-A5PI-01A-12R-A29S-07
CC2D2A::BST1__4:15480827-4:15711807	CC2D2A::BST1	4:15480827-4:15711807	+	+	2	1	ACC	TCGA-OU-A5PI-01A-12R-A29S-07
YPEL3::EXD3__16:30095252-9:137324143	YPEL3::EXD3	16:30095252-9:137324143	-	-	25	125	ACC	TCGA-P6-A5OF-01A-11R-A29S-07
DCP2::IL17B__5:112992770-5:149377025	DCP2::IL17B	5:112992770-5:149377025	+	-	8	24	ACC	TCGA-P6-A5OF-01A-11R-A29S-07
GNB1::TSC2__1:1839190-16:2079032	GNB1::TSC2	1:1839190-16:2079032	-	+	5	17	ACC	TCGA-P6-A5OF-01A-11R-A29S-07
CPSF1::TONSL__8:144400924-8:144429336	CPSF1::TONSL	8:144400924-8:144429336	-	-	1	7	ACC	TCGA-P6-A5OF-01A-11R-A29S-07
ASB4::DYNC1I1__7:95536550-7:95804721	ASB4::DYNC1I1	7:95536550-7:95804721	+	+	2	2	ACC	TCGA-P6-A5OF-01A-11R-A29S-07
KCNQ1::DUSP8__11:2778037-11:1565934	KCNQ1::DUSP8	11:2778037-11:1565934	+	-	11	73	ACC	TCGA-PA-A5YG-01A-11R-A29S-07
DNAJC4::IGF2__11:64232477-11:2131698	DNAJC4::IGF2	11:64232477-11:2131698	+	-	6	1	ACC	TCGA-PK-A5H8-01A-11R-A29S-07
MAMSTR::IGF2__19:48715832-11:2131700	MAMSTR::IGF2	19:48715832-11:2131700	-	-	3	3	ACC	TCGA-PK-A5H8-01A-11R-A29S-07
ARAP1::IGF2__11:72722065-11:2132106	ARAP1::IGF2	11:72722065-11:2132106	-	-	1000	1000	ACC	TCGA-PK-A5H9-01A-11R-A29S-07
CLUH::IGF2__17:2689386-11:2139208	CLUH::IGF2	17:2689386-11:2139208	-	-	1000	1000	ACC	TCGA-PK-A5H9-01A-11R-A29S-07
GALNT2::IGF2__1:230255303-11:2131760	GALNT2::IGF2	1:230255303-11:2131760	+	-	1000	1000	ACC	TCGA-PK-A5H9-01A-11R-A29S-07
RCC1L::DENND1A__7:75052711-9:123403490	RCC1L::DENND1A	7:75052711-9:123403490	-	-	9	64	ACC	TCGA-PK-A5HA-01A-11R-A29S-07
MCCC1::LAMP3__3:183086693-3:183154391	MCCC1::LAMP3	3:183086693-3:183154391	-	-	4	5	ACC	TCGA-PK-A5HA-01A-11R-A29S-07
PPIP5K1::FRMD5__15:43534974-15:43888872	PPIP5K1::FRMD5	15:43534974-15:43888872	-	-	3	7	ACC	TCGA-PK-A5HA-01A-11R-A29S-07
PXK::RPP14__3:58333090-3:58310507	PXK::RPP14	3:58333090-3:58310507	+	+	1	13	ACC	TCGA-PK-A5HA-01A-11R-A29S-07
NUP85::TMEM94__17:75205794-17:75471800	NUP85::TMEM94	17:75205794-17:75471800	+	+	1	12	ACC	TCGA-PK-A5HA-01A-11R-A29S-07
SEMA6C::VPS72__1:151139976-1:151185950	SEMA6C::VPS72	1:151139976-1:151185950	-	-	1	4	ACC	TCGA-PK-A5HA-01A-11R-A29S-07
RUSC2::U82695.5__9:35490172-X:153398920	RUSC2::U82695.5	9:35490172-X:153398920	+	-	33	45	ACC	TCGA-PK-A5HB-01A-11R-A29S-07
RRP7A::PACSIN2__22:42518005-22:42879169	RRP7A::PACSIN2	22:42518005-22:42879169	-	-	8	133	ACC	TCGA-PK-A5HB-01A-11R-A29S-07
TSGA10::ZRANB3__2:99154837-2:135224517	TSGA10::ZRANB3	2:99154837-2:135224517	-	-	1	5	ACC	TCGA-PK-A5HB-01A-11R-A29S-07
TOGARAM1::KCNK13__14:45054549-14:90184111	TOGARAM1::KCNK13	14:45054549-14:90184111	+	+	7	7	BLCA	TCGA-2F-A9KO-01A-11R-A38B-07
SHPK::GUCY1A2__17:3630205-11:106986131	SHPK::GUCY1A2	17:3630205-11:106986131	-	-	1	9	BLCA	TCGA-2F-A9KO-01A-11R-A38B-07
NUDT2::UBAP1__9:34339166-9:34249779	NUDT2::UBAP1	9:34339166-9:34249779	+	+	1	4	BLCA	TCGA-2F-A9KO-01A-11R-A38B-07
EPB41::HGSNAT__1:28997319-8:43158575	EPB41::HGSNAT	1:28997319-8:43158575	+	+	51	152	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
SYS1::IDO2__20:45365686-8:40015247	SYS1::IDO2	20:45365686-8:40015247	+	+	21	109	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
NUP188::TMEM8C__9:129006368-9:133514785	NUP188::TMEM8C	9:129006368-9:133514785	+	-	8	88	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
PHF21A::NUTF2__11:46076754-16:67868340	PHF21A::NUTF2	11:46076754-16:67868340	-	+	21	31	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
IP6K1::MON1A__3:49738212-3:49913359	IP6K1::MON1A	3:49738212-3:49913359	-	-	17	42	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
ST3GAL3::ZMAT4__1:43736380-8:40532238	ST3GAL3::ZMAT4	1:43736380-8:40532238	+	-	11	35	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
TRMT61A::AMN__14:103530309-14:102928426	TRMT61A::AMN	14:103530309-14:102928426	+	+	5	14	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
GBF1::UBE2R2__10:102344182-9:33886881	GBF1::UBE2R2	10:102344182-9:33886881	+	+	4	16	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
SEMA5A::MYHAS__5:9437756-17:10608354	SEMA5A::MYHAS	5:9437756-17:10608354	-	+	2	20	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
RAF1::IQSEC1__3:12663813-3:12941865	RAF1::IQSEC1	3:12663813-3:12941865	-	-	2	15	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
WDR59::CHST5__16:74888169-16:75533183	WDR59::CHST5	16:74888169-16:75533183	-	-	4	5	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
ABHD17C::PRAMEF6__15:80696019-1:12942540	ABHD17C::PRAMEF6	15:80696019-1:12942540	+	-	2	5	BLCA	TCGA-2F-A9KP-01A-11R-A38B-07
ZNF326::CCDC18__1:89995273-1:93226333	ZNF326::CCDC18	1:89995273-1:93226333	+	+	17	75	BLCA	TCGA-2F-A9KR-01A-11R-A38B-07
MSI2::BCAS3__17:57652161-17:60808004	MSI2::BCAS3	17:57652161-17:60808004	+	+	4	14	BLCA	TCGA-2F-A9KR-01A-11R-A38B-07
OGT::GCNA__X:71554591-X:71592121	OGT::GCNA	X:71554591-X:71592121	+	+	1000	1000	BLCA	TCGA-2F-A9KR-01A-11R-A38B-07
GSTP1::ELP4__11:67586537-11:31650115	GSTP1::ELP4	11:67586537-11:31650115	+	+	12	18	BLCA	TCGA-2F-A9KT-01A-11R-A38B-07
CDC42BPG::EHD1__11:64844410-11:64860336	CDC42BPG::EHD1	11:64844410-11:64860336	-	-	5	7	BLCA	TCGA-2F-A9KT-01A-11R-A38B-07
DHX35::MYO7A__20:39001842-11:77197481	DHX35::MYO7A	20:39001842-11:77197481	+	+	4	4	BLCA	TCGA-2F-A9KT-01A-11R-A38B-07
CACNA1I::SYNGR1__22:39673082-22:39381696	CACNA1I::SYNGR1	22:39673082-22:39381696	+	+	2	7	BLCA	TCGA-2F-A9KT-01A-11R-A38B-07
NPRL3::UBE2L3__16:86668-22:21621515	NPRL3::UBE2L3	16:86668-22:21621515	-	+	2	5	BLCA	TCGA-2F-A9KT-01A-11R-A38B-07
LIMCH1::UCHL1__4:41360936-4:41264103	LIMCH1::UCHL1	4:41360936-4:41264103	+	+	30	380	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A6__4:84609525-2:233767034	CDS1::UGT1A6	4:84609525-2:233767034	+	+	26	53	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A1__4:84609525-2:233767034	CDS1::UGT1A1	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A10__4:84609525-2:233767034	CDS1::UGT1A10	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A3__4:84609525-2:233767034	CDS1::UGT1A3	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A4__4:84609525-2:233767034	CDS1::UGT1A4	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A5__4:84609525-2:233767034	CDS1::UGT1A5	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A7__4:84609525-2:233767034	CDS1::UGT1A7	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A8__4:84609525-2:233767034	CDS1::UGT1A8	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
CDS1::UGT1A9__4:84609525-2:233767034	CDS1::UGT1A9	4:84609525-2:233767034	+	+	26	48	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
VGLL4::TMEM40__3:11601833-3:12749840	VGLL4::TMEM40	3:11601833-3:12749840	-	-	7	15	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
KIF13B::PPP2R5B__8:29118868-11:64925471	KIF13B::PPP2R5B	8:29118868-11:64925471	-	+	1	9	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
IPPK::CDC42SE1__9:92634386-1:151059773	IPPK::CDC42SE1	9:92634386-1:151059773	-	-	2	4	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
PTPN11::ZNF706__12:112419125-8:101201743	PTPN11::ZNF706	12:112419125-8:101201743	+	-	1	4	BLCA	TCGA-2F-A9KW-01A-11R-A38B-07
NUP62::VSTM2B__19:49927694-19:29563846	NUP62::VSTM2B	19:49927694-19:29563846	-	+	95	385	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
IL4I1::VSTM2B__19:49927694-19:29563846	IL4I1::VSTM2B	19:49927694-19:29563846	-	+	95	375	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
SLC39A11::ADSS__17:73084808-1:244437768	SLC39A11::ADSS	17:73084808-1:244437768	-	-	8	42	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
TRIM37::ZNF385D__17:59062567-3:22169035	TRIM37::ZNF385D	17:59062567-3:22169035	-	-	8	12	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
USP31::PRKCB__16:23148638-16:23988508	USP31::PRKCB	16:23148638-16:23988508	-	+	4	12	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
PIGS::SPAG5__17:28556166-17:28578292	PIGS::SPAG5	17:28556166-17:28578292	-	-	3	11	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
ILF3::MAPK13__19:10654487-6:36131271	ILF3::MAPK13	19:10654487-6:36131271	+	+	1	13	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
NUDT19::DPY19L3__19:32709392-19:32432716	NUDT19::DPY19L3	19:32709392-19:32432716	+	+	1	12	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
ZNF507::TDRD12__19:32345783-19:32797735	ZNF507::TDRD12	19:32345783-19:32797735	+	+	1	8	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
MELK::CNTFR__9:36573007-9:34581205	MELK::CNTFR	9:36573007-9:34581205	+	-	1	4	BLCA	TCGA-4Z-AA7M-01A-11R-A39I-07
PPFIA1::SHANK2__11:70272436-11:70698763	PPFIA1::SHANK2	11:70272436-11:70698763	+	-	4	3	BLCA	TCGA-4Z-AA7O-01A-31R-A39I-07
RBM4B::FCHSD2__11:66676668-11:73015885	RBM4B::FCHSD2	11:66676668-11:73015885	-	-	1	6	BLCA	TCGA-4Z-AA7O-01A-31R-A39I-07
FOXJ3::SVBP__1:42227883-1:42807500	FOXJ3::SVBP	1:42227883-1:42807500	-	-	32	137	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
MLF1::RSRC1__3:158592581-3:158543335	MLF1::RSRC1	3:158592581-3:158543335	+	+	5	11	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
SAMD8::ADK__10:75111722-10:74708321	SAMD8::ADK	10:75111722-10:74708321	+	+	4	15	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
ACOX3::CD96__4:8374978-3:111665527	ACOX3::CD96	4:8374978-3:111665527	-	+	1	5	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
CHMP4C::ITGB1__8:81732816-10:32901635	CHMP4C::ITGB1	8:81732816-10:32901635	+	-	2	0	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
LPAR6::TPP2__13:48412421-13:102604793	LPAR6::TPP2	13:48412421-13:102604793	-	+	1	2	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
UBE2G1::PELP1__17:4282798-17:4691442	UBE2G1::PELP1	17:4282798-17:4691442	-	-	1	2	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
ABCA1::RAB5C__9:104883039-17:42126848	ABCA1::RAB5C	9:104883039-17:42126848	-	-	1	1	BLCA	TCGA-4Z-AA7Q-01A-11R-A39I-07
ADAM10::TERB2__15:58717577-15:44973867	ADAM10::TERB2	15:58717577-15:44973867	-	+	13	46	BLCA	TCGA-4Z-AA7R-01A-11R-A39I-07
SWT1::DCAF8__1:185190642-1:160225663	SWT1::DCAF8	1:185190642-1:160225663	+	-	8	34	BLCA	TCGA-4Z-AA7R-01A-11R-A39I-07
DCDC2::MRS2__6:24353569-6:24422937	DCDC2::MRS2	6:24353569-6:24422937	-	+	3	10	BLCA	TCGA-4Z-AA7R-01A-11R-A39I-07
MCM3::ADGRF1__6:52282045-6:47024217	MCM3::ADGRF1	6:52282045-6:47024217	-	-	4	3	BLCA	TCGA-4Z-AA7R-01A-11R-A39I-07
CDKAL1::OFCC1__6:20548705-6:9850469	CDKAL1::OFCC1	6:20548705-6:9850469	+	-	3	6	BLCA	TCGA-4Z-AA7R-01A-11R-A39I-07
SLC9A8::TOM1L2__20:49815189-17:17850952	SLC9A8::TOM1L2	20:49815189-17:17850952	+	-	1	4	BLCA	TCGA-4Z-AA7R-01A-11R-A39I-07
RAB3IP::CD63__12:69739031-12:55726261	RAB3IP::CD63	12:69739031-12:55726261	+	-	425	1388	BLCA	TCGA-4Z-AA7S-01A-11R-A39I-07
CD63::OS9__12:55725813-12:57715760	CD63::OS9	12:55725813-12:57715760	-	+	205	908	BLCA	TCGA-4Z-AA7S-01A-11R-A39I-07
